creative_platform,payload_mb,useful_mb,wifi_ac_consumed_kWh,wifi_ac_mobile_rx_bytes,wifi_ac_mobile_tx_bytes,wifi_ac_kWh_per_mb,wifi_ac_kWh_per_useful_mb,wifi_ac_tx_consumed_kWh,wifi_ac_oh_consumed_kWh,wifi_ac_real_consumed_kWh,wifi_ac_real_kWh_per_mb,wifi_ac_real_kWh_per_useful_mb,wifi_ac_infra_consumed_kWh,wifi_ac_infra_kWh_per_mb,wifi_ac_infra_kWh_per_useful_mb,wifi_ac_device_consumed_kWh,wifi_ac_device_kWh_per_mb,wifi_ac_device_kWh_per_useful_mb,lte_consumed_kWh,lte_mobile_rx_bytes,lte_mobile_tx_bytes,lte_kWh_per_mb,lte_kWh_per_useful_mb,lte_tx_consumed_kWh,lte_oh_consumed_kWh,lte_real_consumed_kWh,lte_real_kWh_per_mb,lte_real_kWh_per_useful_mb,lte_infra_consumed_kWh,lte_infra_kWh_per_mb,lte_infra_kWh_per_useful_mb,lte_device_consumed_kWh,lte_device_kWh_per_mb,lte_device_kWh_per_useful_mb
html5__0ZhWb1hege2Ehtml,7.025954,8.909802,9.847321029439696e-08,3702217.0,11098.0,1.4015635498666369e-08,1.1052233292546451e-08,9.847321029439696e-08,4.268456372281537e-09,9.847321029439696e-08,1.4015635498666369e-08,1.1052233292546451e-08,8.984444444445623e-08,1.2787508208060604e-08,1.0083775648937678e-08,1.2897222222222268e-08,1.8356542360257793e-09,1.4475318556150032e-09,3.317195954703704e-05,3702217.0,11098.0,4.72134596199136e-06,3.7230860514113597e-06,3.317195954703704e-05,0.005409895365416409,3.317195954703704e-05,4.72134596199136e-06,3.7230860514113597e-06,0.0054365336666666675,0.0007737787162663843,0.000610174464782345,6.533658296777835e-06,9.299318351326859e-07,7.333112786095397e-07
html5__0zMYP44zps17html,3.497083,3.646868,9.954211924026593e-08,3744478.0,6181.0,2.846432848184213e-08,2.7295235045596915e-08,9.954211924026593e-08,4.692047426389925e-09,9.954211924026593e-08,2.846432848184213e-08,2.7295235045596915e-08,9.137777777776582e-08,2.612971375794221e-08,2.5056508153781772e-08,1.285638888889003e-08,3.67631791664368e-09,3.525323342904111e-09,3.355036569903704e-05,3744478.0,6181.0,9.593814530291973e-06,9.199775176682304e-06,3.355036569903704e-05,0.005558170801449295,3.355036569903704e-05,9.593814530291973e-06,9.199775176682304e-06,0.005585359849999999,0.0015971482089501448,0.0015315497709267236,6.361317148333392e-06,1.8190352211638647e-06,1.744323388818403e-06
html5__1LtOL85ZtP0Phtml,6.129412,7.916252,9.338732835707504e-08,3511408.0,9417.0,1.5235935903325643e-08,1.1796912018095815e-08,9.338732835707504e-08,6.239338309604084e-09,9.338732835707504e-08,1.5235935903325643e-08,1.1796912018095815e-08,8.707777777779027e-08,1.4206546692862262e-08,1.0999874407458261e-08,1.2548888888888848e-08,2.0473234445471846e-09,1.585205838430718e-09,3.1462607829259254e-05,3511408.0,9417.0,5.133054823082418e-06,3.974432323435289e-06,3.1462607829259254e-05,0.005152496986485295,3.1462607829259254e-05,5.133054823082418e-06,3.974432323435289e-06,0.005177523666666665,0.0008447015254753091,0.000654037247256235,6.435927647888943e-06,1.050007349463365e-06,8.130018660205541e-07
html5__1tWG4OXVWF3ohtml,1.465575,2.076759,1.7016749553656223e-08,639299.0,2957.0,1.1610971498324018e-08,8.19389710296487e-09,1.7016749553656223e-08,3.2499083779689635e-08,1.7016749553656223e-08,1.1610971498324018e-08,8.19389710296487e-09,4.4222222222233356e-08,3.017397418912942e-08,2.1293863285163735e-08,5.293611111112498e-09,3.611968757049279e-09,2.5489770893553356e-09,5.728239482074073e-06,639299.0,2957.0,3.908527016409309e-06,2.758259134581371e-06,5.728239482074073e-06,0.0013988878946531462,5.728239482074073e-06,3.908527016409309e-06,2.758259134581371e-06,0.0013988813833333315,0.0009544932080127809,0.0006735886943710519,5.734750801888899e-06,3.912969859535607e-06,2.7613944621830933e-06
html5__26GIldhLAjAVhtml,1.884261,2.030814,5.4192480531813865e-08,2036275.0,8807.0,2.8760601918637526e-08,2.668510288574624e-08,5.4192480531813865e-08,2.3940019468180088e-08,5.4192480531813865e-08,2.8760601918637526e-08,2.668510288574624e-08,6.883333333332841e-08,3.653067878246613e-08,3.3894454801536926e-08,9.299166666665542e-09,4.935179715902172e-09,4.5790341541202405e-09,1.8245313077481484e-05,2036275.0,8807.0,9.683007331511656e-06,8.984236408396576e-06,1.8245313077481484e-05,0.0028765772221550734,1.8245313077481484e-05,9.683007331511656e-06,8.984236408396576e-06,0.0028890630999999995,0.0015332605727125912,0.0014226133461754742,5.759435232555587e-06,3.0566016239552733e-06,2.836023009766324e-06
html5__2CmGSXPJb7Gqhtml,0.172105,1.150318,1.476194962962963e-08,555268.0,856.0,8.57729271644033e-08,1.283292935486503e-08,1.476194962962963e-08,3.366138370371264e-08,1.476194962962963e-08,8.57729271644033e-08,1.283292935486503e-08,4.3488888888898415e-08,2.526881199784923e-07,3.780597094794519e-08,4.9344444444438575e-09,2.8671127767606155e-08,4.289635078685944e-09,4.975504273481481e-06,555268.0,856.0,2.8909702062586683e-05,4.325329407591189e-06,4.975504273481481e-06,0.0013283073950050741,4.975504273481481e-06,2.8909702062586683e-05,4.325329407591189e-06,0.0013274993333333334,0.007713310672748225,0.0011540281325106044,5.7835659452222305e-06,3.3604868802313877e-05,5.027797483150077e-06
html5__2EVRdcEX4U2ahtml,1.922610,2.237223,5.467657591642925e-08,2057002.0,2877.0,2.843872439882725e-08,2.443948409095975e-08,5.467657591642925e-08,1.8074257416920793e-08,5.467657591642925e-08,2.843872439882725e-08,2.443948409095975e-08,6.435555555557018e-08,3.347301613721461e-08,2.876582064263159e-08,8.395277777779867e-09,4.366604656056021e-09,3.7525440145125745e-09,1.8430588223481478e-05,2057002.0,2877.0,9.58623341368321e-06,8.238154275850676e-06,1.8430588223481478e-05,0.003139380613256406,1.8430588223481478e-05,9.58623341368321e-06,8.238154275850676e-06,0.003151759666666665,0.0016393130518756614,0.0014087820779004438,6.051534813222253e-06,3.147562331009541e-06,2.7049314320576235e-06
html5__2X4G7MWIcrN4html,1.186406,1.372960,3.396248349477683e-08,1275061.0,8029.0,2.8626358510304925e-08,2.4736688246399626e-08,3.396248349477683e-08,2.959168317189621e-08,3.396248349477683e-08,2.8626358510304925e-08,2.4736688246399626e-08,5.651111111111757e-08,4.7632185871546136e-08,4.116005645548127e-08,7.04305555555547e-09,5.936463196878193e-09,5.129833029043432e-09,1.1425119550370371e-05,1275061.0,8029.0,9.630025092902742e-06,8.32152397037814e-06,1.1425119550370371e-05,0.0018269969508832968,1.1425119550370371e-05,9.630025092902742e-06,8.32152397037814e-06,0.001832675866666667,0.0015447290949865955,0.0013348355863729948,5.746203767000019e-06,4.843370454127861e-06,4.185266698957012e-06
html5__2gHsj8VxXDovhtml,1.852839,2.167412,5.2692212611585946e-08,1982204.0,3007.0,2.843863531131736e-08,2.431111971862569e-08,5.2692212611585946e-08,1.942862072173358e-08,5.2692212611585946e-08,2.843863531131736e-08,2.431111971862569e-08,6.39555555555422e-08,3.4517600048111144e-08,2.9507798035418365e-08,8.16527777777733e-09,4.406900857428697e-09,3.76729379452422e-09,1.776054091651852e-05,1982204.0,3007.0,9.585582404363532e-06,8.194353872968553e-06,1.776054091651852e-05,0.0029718662936913695,1.776054091651852e-05,9.585582404363532e-06,8.194353872968553e-06,0.0029835773333333326,0.0016102733876679693,0.0013765621549263972,6.0495012745555854e-06,3.264990252555989e-06,2.791117366959113e-06
html5__2sHbU2TqTF0uhtml,0.844052,1.028707,2.4912279088319088e-08,934394.0,8127.0,2.951509988521926e-08,2.4217079390262814e-08,2.4912279088319088e-08,3.214188757835494e-08,2.4912279088319088e-08,2.951509988521926e-08,2.4217079390262814e-08,5.07111111111184e-08,6.008055322553397e-08,4.92959716528792e-08,6.343055555555629e-09,7.515005657892675e-09,6.166046848670835e-09,8.37246380762963e-06,934394.0,8127.0,9.919369668728502e-06,8.138822626490954e-06,8.37246380762963e-06,0.001706192438346036,8.37246380762963e-06,9.919369668728502e-06,8.138822626490954e-06,0.0017088246333333322,0.002024549000930431,0.0016611383351462876,5.740268820333348e-06,6.800847365249236e-06,5.5800814229254274e-06
html5__3KRMUGZW4xdrhtml,6.005226,7.578905,5.9574127331434005e-08,2241399.0,2647.0,9.920380570428824e-09,7.86051907649377e-09,5.9574127331434005e-08,1.6545872668558076e-08,5.9574127331434005e-08,9.920380570428824e-09,7.86051907649377e-09,6.729999999999172e-08,1.1206905452016578e-08,8.879910752277766e-09,8.820000000000366e-09,1.468720744231835e-09,1.163756505722181e-09,2.0083102654666665e-05,2241399.0,2647.0,3.344270915810107e-06,2.6498686359924906e-06,2.0083102654666665e-05,0.003320278104462112,2.0083102654666665e-05,3.344270915810107e-06,2.6498686359924906e-06,0.0033342610000000007,0.0005552265643291361,0.0004399396746627647,6.100207116777812e-06,1.0158164100364935e-06,8.048929385944028e-07
html5__3ypf2hcSB7nKhtml,11.083168,12.997820,1.575948481671415e-07,5930716.0,3826.0,1.4219296158565989e-08,1.2124713849487183e-08,1.575948481671415e-07,7.558570487405508e-05,1.575948481671415e-07,1.4219296158565989e-08,1.2124713849487183e-08,7.56775e-05,6.828146970252548e-06,5.822322512544411e-06,6.579972222222324e-08,5.936905605168417e-09,5.0623660138564186e-09,5.3138841859703705e-05,5930716.0,3826.0,4.794553494064486e-06,4.0882887945596805e-06,5.3138841859703705e-05,0.008813706538606187,5.3138841859703705e-05,4.794553494064486e-06,4.0882887945596805e-06,0.008859790666666667,0.0007993915337804739,0.0006816366641995863,7.054713799222314e-06,6.365250259873633e-07,5.427613091443267e-07
html5__5XkMffcc7QvQhtml,2.256486,2.445797,6.512299282051281e-08,2447237.0,9973.0,2.886035757390598e-08,2.6626491413847024e-08,6.512299282051281e-08,1.745784051281169e-08,6.512299282051281e-08,2.886035757390598e-08,2.6626491413847024e-08,7.275555555554794e-08,3.224285705984789e-08,2.9747176709901898e-08,9.825277777776565e-09,4.354238305833302e-09,4.017209023388517e-09,2.1927791405185186e-05,2447237.0,9973.0,9.717672259072373e-06,8.965499346505529e-06,2.1927791405185186e-05,0.003686309543960148,2.1927791405185186e-05,9.717672259072373e-06,8.965499346505529e-06,0.0037024707333333327,0.0016408126322668664,0.0015138094998617352,5.766602032000038e-06,2.5555673875220308e-06,2.3577598762285e-06
html5__5Yk4eG8MrFWfhtml,0.435237,0.538538,1.64542938651472e-08,618277.0,2577.0,3.7805365502352054e-08,3.055363570471759e-08,1.64542938651472e-08,1.7064872801521983e-08,1.64542938651472e-08,3.7805365502352054e-08,3.055363570471759e-08,2.391111111111385e-08,5.493813970575537e-08,4.440004440004949e-08,9.608055555555334e-09,2.207545671796133e-08,1.784099832426929e-08,5.540068306814815e-06,618277.0,2577.0,1.272885418017038e-05,1.0287237496360174e-05,5.540068306814815e-06,0.0010722357147785182,5.540068306814815e-06,1.272885418017038e-05,1.0287237496360174e-05,0.0010719346666666664,0.0024628757818537174,0.0019904531651743543,5.841116418666675e-06,1.3420541954536667e-05,1.0846247467526295e-05
html5__5b0kGwFbcuMNhtml,0.119136,0.212340,4.824064767331435e-09,180615.0,2272.0,4.0492082723370216e-08,2.2718587017667113e-08,4.824064767331435e-09,3.280510189934236e-08,4.824064767331435e-09,4.0492082723370216e-08,2.2718587017667113e-08,3.237777777778553e-08,2.7177157011974154e-07,1.5248082216155943e-07,5.251388888888263e-09,4.4078942459779266e-08,2.4731039318490454e-08,1.6185572948888888e-06,180615.0,2272.0,1.3585795182723012e-05,7.62247948991659e-06,1.6185572948888888e-06,0.0008839297435930005,1.6185572948888888e-06,1.3585795182723012e-05,7.62247948991659e-06,0.0008798215166666672,0.007385018102560662,0.004143456327901795,5.726784221222225e-06,4.806930080934583e-05,2.69698795385807e-05
html5__5dX7NXMcCzEChtml,7.568599,8.985417,1.0990137614434948e-07,4135264.0,4165.0,1.4520702727724044e-08,1.2231082446629854e-08,1.0990137614434948e-07,2.0777905223077722e-09,1.0990137614434948e-07,1.4520702727724044e-08,1.2231082446629854e-08,9.83111111111008e-08,1.2989340710361429e-08,1.0941185157138596e-08,1.3668055555556444e-08,1.805889776371617e-09,1.5211375894470389e-09,3.7051800376814814e-05,4135264.0,4165.0,4.895463529883776e-06,4.123548231185577e-06,3.7051800376814814e-05,0.006135750763159629,3.7051800376814814e-05,4.895463529883776e-06,4.123548231185577e-06,0.006166272666666666,0.0008147178449626762,0.0006862533666124416,6.529896869777841e-06,8.627616378906903e-07,7.267216279197549e-07
html5__5mAYx6CYsHwchtml,2.453086,2.644708,7.006625724596392e-08,2634119.0,8015.0,2.8562495259425853e-08,2.649300310127391e-08,7.006625724596392e-08,1.7141242754034684e-08,7.006625724596392e-08,2.8562495259425853e-08,2.649300310127391e-08,7.689999999999921e-08,3.134826907821382e-08,2.907693401313083e-08,1.0307499999999393e-08,4.201850240880016e-09,3.897405687130448e-09,2.360211272607407e-05,2634119.0,8015.0,9.62139636607688e-06,8.924279249759924e-06,2.360211272607407e-05,0.0039177848367942586,2.360211272607407e-05,9.62139636607688e-06,8.924279249759924e-06,0.0039356172,0.0016043535367288387,0.0014881102942177358,5.769749520333374e-06,2.3520371973642075e-06,2.181620625162919e-06
html5__6XOqa2sEOa3Khtml,18.783597,22.084165,2.676817274453941e-07,10074720.0,3953.0,1.4250823601325886e-08,1.2120980233818853e-08,2.676817274453941e-07,0.0,2.676817274453941e-07,1.4250823601325886e-08,1.2120980233818853e-08,1.6577777777777988e-07,8.82566729779072e-09,7.506635536266818e-09,3.3061388888888933e-08,1.7601202202586082e-09,1.4970631168934364e-09,7.650415360681482e-05,8538511.0,3953.0,4.072923498455318e-06,3.464208567850078e-06,7.650415360681482e-05,0.012394119917335406,7.650415360681482e-05,4.072923498455318e-06,3.464208567850078e-06,0.012462648666666664,0.000663485735275659,0.0005643251020206861,7.97540427555567e-06,4.245940900220373e-07,3.6113678174183494e-07
html5__7NZyGzMxZ5Mbhtml,1.722354,1.868330,4.909566670465338e-08,1844182.0,9288.0,2.850498022163468e-08,2.6277834592739706e-08,4.909566670465338e-08,2.6581833295351795e-08,4.909566670465338e-08,2.850498022163468e-08,2.6277834592739706e-08,6.703333333333802e-08,3.891960266782439e-08,3.587874376225721e-08,8.644166666667156e-09,5.018809528509909e-09,4.6266808682979745e-09,1.6524513697037036e-05,1844182.0,9288.0,9.594144814037669e-06,8.84453693781989e-06,1.6524513697037036e-05,0.0022423596147044074,1.6524513697037036e-05,9.594144814037669e-06,8.84453693781989e-06,0.002253128,0.0013081677750334717,0.0012059582621913687,5.756128401444472e-06,3.3420123862135613e-06,3.0808949176240127e-06
html5__Aq8S3p37sK76html,8.941872,11.123824,1.1642261504273505e-07,4379782.0,6545.0,1.301993755253207e-08,1.0466060506057543e-08,1.1642261504273505e-07,1.5507182905886232e-09,1.1642261504273505e-07,1.301993755253207e-08,1.0466060506057543e-08,1.0328888888888046e-07,1.1551148225883849e-08,9.285376044144572e-09,1.4684444444443214e-08,1.6422114345232422e-09,1.3200896062759724e-09,3.9242526003037033e-05,4379782.0,6545.0,4.3886253351688585e-06,3.5277909829422895e-06,3.9242526003037033e-05,0.006613947592622295,3.9242526003037033e-05,4.3886253351688585e-06,3.5277909829422895e-06,0.006646510333333333,0.000743301887270734,0.0005975022917778394,6.679785292000068e-06,7.470231392263351e-07,6.0049361550489e-07
html5__BNPS5iz4NZAEhtml,2.750515,2.905915,7.836134226020892e-08,2945655.0,9834.0,2.8489698205684725e-08,2.696615085444995e-08,7.836134226020892e-08,1.610199107312012e-08,7.836134226020892e-08,2.8489698205684725e-08,2.696615085444995e-08,8.318888888888382e-08,3.024484101664009e-08,2.8627433661646616e-08,1.1274444444445223e-08,4.099030343206717e-09,3.879825956521517e-09,2.6393324899777776e-05,2945655.0,9834.0,9.595775663749434e-06,9.08262110205487e-06,2.6393324899777776e-05,0.0043434832729299985,2.6393324899777776e-05,9.595775663749434e-06,9.08262110205487e-06,0.004364101383333332,0.0015866488215237262,0.0015017993930769935,5.775214496444491e-06,2.0996847850109853e-06,1.9873996646304147e-06
html5__Bo8mV5fI880fhtml,0.389996,0.780707,1.2902423209876544e-08,485042.0,1415.0,3.3083475753280914e-08,1.6526588348607792e-08,1.2902423209876544e-08,3.3430910123455047e-08,1.2902423209876544e-08,3.3083475753280914e-08,1.6526588348607792e-08,4.1455555555553847e-08,1.062973865258973e-07,5.31000177474441e-08,4.877777777777744e-09,1.2507250786617668e-08,6.2478980946472155e-09,4.346373144518518e-06,485042.0,1415.0,1.1144660828620085e-05,5.5672270704867746e-06,4.346373144518518e-06,0.0010564700482497038,4.346373144518518e-06,1.1144660828620085e-05,5.5672270704867746e-06,0.0010550450000000001,0.002705271336116268,0.0013513968748839194,5.77142139422223e-06,1.4798668176653683e-05,7.392557507774658e-06
html5__BqyudEaaTQxhhtml,5.873975,6.262687,1.6869618317188984e-07,6347854.0,5796.0,2.8719254537496303e-08,2.6936709941258416e-08,1.6869618317188984e-07,7.577402965016145e-05,1.6869618317188984e-07,2.8719254537496303e-08,2.6936709941258416e-08,7.58734e-05,1.2916874859017956e-05,1.2115151212251227e-05,6.932583333333237e-08,1.1802200951371494e-08,1.1069662803415271e-08,5.6876067137037034e-05,6347854.0,5796.0,9.682722030147734e-06,9.081735545307794e-06,5.6876067137037034e-05,0.009497995505747408,5.6876067137037034e-05,9.682722030147734e-06,9.081735545307794e-06,0.009547762,0.0016254345651794569,0.0015245472111251929,7.109572884444543e-06,1.210351233099314e-06,1.1352272410300152e-06
html5__C1siIY03CkeUhtml,2.474693,2.751655,7.034662932573599e-08,2644674.0,8057.0,2.8426406558605854e-08,2.5565206875766036e-08,7.034662932573599e-08,1.666087067427065e-08,7.034662932573599e-08,2.8426406558605854e-08,2.5565206875766036e-08,7.673333333333896e-08,3.1007213150616645e-08,2.7886247852052294e-08,1.027416666666768e-08,4.151693428909235e-09,3.733813529191588e-09,2.3696567451333336e-05,2644674.0,8057.0,9.575558443545659e-06,8.611750910391506e-06,2.3696567451333336e-05,0.004056564783616221,2.3696567451333336e-05,9.575558443545659e-06,8.611750910391506e-06,0.004074491399999999,0.0016464633794979818,0.0014807420988459667,5.769951067555597e-06,2.331582571072694e-06,2.0969020707739877e-06
html5__CWTNxQaEu6IFhtml,0.164592,0.368096,7.520546894586895e-09,281924.0,2651.0,4.569205608162544e-08,2.043093892513609e-08,7.520546894586895e-09,2.985195310540679e-08,7.520546894586895e-09,4.569205608162544e-08,2.043093892513609e-08,3.129999999999409e-08,1.901672013220211e-07,8.503216552202169e-08,6.072499999999593e-09,3.689425974530715e-08,1.6497055116055577e-08,2.5266036774074074e-06,281924.0,2651.0,1.535070767356498e-05,6.86398025897431e-06,2.5266036774074074e-06,0.0005775367501323694,2.5266036774074074e-06,1.535070767356498e-05,6.86398025897431e-06,0.0005743029999999991,0.0034892522115291093,0.001560198969833954,5.760353809777781e-06,3.4997775163907e-05,1.5649052991007187e-05
html5__Cl8RhxArqrmdhtml,0.948331,1.136500,2.6980827958214624e-08,1012147.0,8273.0,2.845085519530061e-08,2.374027976965651e-08,2.6980827958214624e-08,3.187333870844302e-08,2.6980827958214624e-08,2.845085519530061e-08,2.374027976965651e-08,5.2211111111101364e-08,5.505578865512291e-08,4.594026494597568e-08,6.643055555556287e-09,7.004996731685758e-09,5.845187466393565e-09,9.069509383703704e-06,1012147.0,8273.0,9.563653812544042e-06,7.980210632383373e-06,9.069509383703704e-06,0.0018073128331121864,9.069509383703704e-06,9.563653812544042e-06,7.980210632383373e-06,0.0018106406666666677,0.0019092918682049491,0.001593172605953953,5.741675829222237e-06,6.05450610517028e-06,5.052068481497788e-06
html5__DA5aYiiEGYKThtml,0.843555,1.028196,2.489933648622982e-08,933866.0,8161.0,2.9517146464936867e-08,2.4216527282959495e-08,2.489933648622982e-08,3.2365663513768015e-08,2.489933648622982e-08,2.9517146464936867e-08,2.4216527282959495e-08,5.089999999999641e-08,6.033987114058527e-08,4.950418013685757e-08,6.3650000000014205e-09,7.545447540470296e-09,6.190453960141277e-09,8.367921582296297e-06,933866.0,8161.0,9.919829272894234e-06,8.138449850316764e-06,8.367921582296297e-06,0.001706514359179146,8.367921582296297e-06,9.919829272894234e-06,8.138449850316764e-06,0.001709141949999998,0.0020261179768953984,0.0016622725141898992,5.740330761444459e-06,6.804927670921824e-06,5.582914893118101e-06
html5__DV5p7e0EEn2nhtml,24.798624,28.636221,3.224975713580247e-07,12137887.0,4607.0,1.3004655877601301e-08,1.1261876047053301e-08,3.224975713580247e-07,7.968449409530864e-05,3.224975713580247e-07,1.3004655877601301e-08,1.1261876047053301e-08,7.98776e-05,3.2210496840469857e-06,2.789390401757271e-06,1.2939166666666748e-07,5.217695411917511e-09,4.518461659681544e-09,8.36140234397037e-05,9332065.0,4607.0,3.3717202793067752e-06,2.919869330513398e-06,8.36140234397037e-05,0.013078437750579073,8.36140234397037e-05,3.3717202793067752e-06,2.919869330513398e-06,0.013153643,0.0005304182603034749,0.00045933585300937576,8.408774018777843e-06,3.390822820966939e-07,2.9364119025264696e-07
html5__DVYOW7I3lNZxhtml,1.712509,1.849759,4.905975225071225e-08,1844036.0,6362.0,2.8647879953163602e-08,2.652224005976576e-08,4.905975225071225e-08,2.6321914415941155e-08,4.905975225071225e-08,2.8647879953163602e-08,2.652224005976576e-08,6.677777777776609e-08,3.89941178573462e-08,3.610079895692687e-08,8.603888888887313e-09,5.024142289989315e-09,4.651356684242279e-09,1.6523094069185185e-05,1844036.0,6362.0,9.648471376900901e-06,8.932565847326697e-06,1.6523094069185185e-05,0.003000162147725593,1.6523094069185185e-05,9.648471376900901e-06,8.932565847326697e-06,0.003010929216666667,0.0017581976016865703,0.0016277413526122415,5.756025128111139e-06,3.361164892045028e-06,3.1117703052728164e-06
